"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Plasmodium berghei","Alveolata","5823","PBANKA01","GCA_900002375.1","-","-","-","","","-"
"","Plasmodium berghei (GCA_900044335.1)","Alveolata","5821","PbK173","GCA_900044335.1","-","-","-","-","-","-"
"","Plasmodium berghei (GCA_900088445.1)","Alveolata","5821","PbNK65E","GCA_900088445.1","-","-","-","-","-","-"
"","Plasmodium berghei (GCA_900095585.1)","Alveolata","5821","PbSP11RLL","GCA_900095585.1","-","-","-","-","-","-"
"","Plasmodium berghei (GCA_900095635.1)","Alveolata","5821","PbSP11A","GCA_900095635.1","-","-","-","-","-","-"
"","Plasmodium chabaudi","Alveolata","31271","PCHAS01","GCA_900002335.1","-","-","-","","","-"
"","Plasmodium chabaudi adami (GCA_900095565.1)","Alveolata","5826","PchDK","GCA_900095565.1","-","-","-","-","-","-"
"","Plasmodium chabaudi chabaudi (GCA_900095605.1)","Alveolata","31271","PchCB","GCA_900095605.1","-","-","-","-","-","-"
"","Plasmodium coatneyi (GCA_001680005.1)","Alveolata","208452","ASM168000v1","GCA_001680005.1","-","-","-","-","","-"
"","Plasmodium cynomolgi strain B (GCA_000321355.1)","Alveolata","1120755","PcynB_1.0","GCA_000321355.1","-","-","-","-","","-"
"","Plasmodium falciparum 3D7","Alveolata","36329","ASM276v2","GCA_000002765.2","-","-","-","-","",""
"","Plasmodium falciparum 7G8 (GCA_000150435.3)","Alveolata","57266","Plas_falc_7G8_V1","GCA_000150435.3","-","-","-","-","-","-"
"","Plasmodium falciparum CAMP/Malaysia (GCA_000521115.1)","Alveolata","5835","Plas_falc_Malayan_Camp_V1","GCA_000521115.1","-","-","-","-","-","-"
"","Plasmodium falciparum Dd2 (GCA_000149795.1)","Alveolata","57267","ASM14979v1","GCA_000149795.1","-","-","-","-","-","-"
"","Plasmodium falciparum FCH/4 (GCA_000521155.1)","Alveolata","1036724","Plas_falc_FCH_4_V2","GCA_000521155.1","-","-","-","-","-","-"
