"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Ceratocystis platani str. CFO","Microascales","88771","ASM97888v1","GCA_000978885.1","-","-","-","","","-"
"","Cercospora berteroae","Capnodiales","357750","Cbert_1","GCA_002933655.1","-","-","-","","","-"
"","Cercospora beticola","Capnodiales","122368","CB0940_V2","GCA_002742065.1","-","-","-","","-","-"
"","Cercospora zeae-maydis SCOH1-5","Capnodiales","717836","Cerzm1","GCA_010093985.1","-","-","-","","-","-"
"","Cercospora zeina str. CMW25467","Capnodiales","348901","ASM284461v1","GCA_002844615.1","-","-","-","","-","-"
"","Chaetomium globosum CBS 148.51","Sordariales","306901","ASM14336v1","GCA_000143365.1","-","-","-","","","-"
"","Chaetomium thermophilum var. thermophilum DSM 1495","Sordariales","759272","CTHT_3.0","GCA_000221225.1","-","-","-","","-","-"
"","Chaetothyriales sp. CBS 132003","Chaetothyriomycetidae","2249419","ASM370986v1","GCA_003709865.1","-","-","-","","-","-"
"","Chaetothyriales sp. CBS 134916","Chaetothyriomycetidae","2249418","ASM370984v1","GCA_003709845.1","-","-","-","","-","-"
"","Chaetothyriales sp. CBS 134920","Chaetothyriomycetidae","2249417","ASM369366v1","GCA_003693665.1","-","-","-","","-","-"
"","Chaetothyriales sp. CBS 135597","Chaetothyriomycetidae","2249420","ASM370982v1","GCA_003709825.1","-","-","-","","-","-"
"","Choanephora cucurbitarum str. KUS-F28377","Mucoromycotina","101091","ASM168372v1","GCA_001683725.1","-","-","-","","","-"
"","Choiromyces venosus 120613-1","Pezizales","1336337","Chove1","GCA_003788595.2","-","-","-","","-","-"
"","Cladophialophora bantiana CBS 173.52","Chaetothyriomycetidae","1442370","Clad_bant_CBS_173_52_V1","GCA_000835475.1","-","-","-","","-","-"
"","Cladophialophora carrionii CBS 160.54","Chaetothyriomycetidae","1279043","Clad_carr_CBS_160_54_V1","GCA_000365165.2","-","-","-","","-","-"
"","Cladophialophora carrionii str. KSF","Chaetothyriomycetidae","86049","ASM170077v1","GCA_001700775.1","-","-","-","","","-"
"","Cladophialophora immunda str. CBS 83496","Chaetothyriomycetidae","569365","Clad_immu_CBS83496_V1","GCA_000835495.1","-","-","-","","-","-"
"","Cladophialophora psammophila CBS 110553","Chaetothyriomycetidae","1182543","Clad_psam_CBS_110553_V1","GCA_000585535.1","-","-","-","","-","-"
"","Cladophialophora yegresii CBS 114405","Chaetothyriomycetidae","1182544","Clad_yegr_CBS_114405_V1","GCA_000585515.1","-","-","-","","-","-"
"","Clathrospora elynae str. CBS 161.51","Pleosporales","706981","Clael1","GCA_010015635.1","-","-","-","","-","-"
"","Claviceps purpurea 20.1","Hypocreales","1111077","ASM34735v1","GCA_000347355.1","-","-","-","","","-"
"","Clavispora lusitaniae","Saccharomycetales","36911","ASM949811v1","GCA_009498115.1","-","-","-","","-","-"
"","Clavispora lusitaniae","Saccharomycetales","36911","ASM949805v1","GCA_009498055.1","-","-","-","","-","-"
"","Clavispora lusitaniae","Saccharomycetales","36911","ASM949807v1","GCA_009498075.1","-","-","-","","-","-"
"","Clavispora lusitaniae","Saccharomycetales","36911","ASM949813v1","GCA_009498135.1","-","-","-","","-","-"
"","Clavispora lusitaniae","Saccharomycetales","36911","ASM949809v1","GCA_009498095.1","-","-","-","","-","-"
"","Clavispora lusitaniae ATCC 42720","Saccharomycetales","306902","ASM383v1","GCA_000003835.1","-","-","-","","","-"
"","Clavispora lusitaniae str. CBS 6936","Saccharomycetales","36911","ASM167369v2","GCA_001673695.2","-","-","-","","-","-"
"","Clohesyomyces aquaticus str. CBS 115471","Pleosporales","1231657","Cloaq1","GCA_002105025.1","-","-","-","","","-"
"","Coccidioides immitis","Onygenales","5501","Cimm211_ragoo","GCA_004115165.2","-","-","-","","-","-"
"","Coccidioides immitis H538.4","Onygenales","396776","ASM14981v1","GCA_000149815.1","-","-","-","","","-"
"","Coccidioides immitis RMSCC 2394","Onygenales","404692","ASM14989v1","GCA_000149895.1","-","-","-","","-","-"
"","Coccidioides immitis RMSCC 3703","Onygenales","454286","ASM15008v1","GCA_000150085.1","-","-","-","","-","-"
"","Coccidioides immitis RS","Onygenales","246410","ASM14933v2","GCA_000149335.2","-","-","-","","-","-"
"","Coccidioides posadasii C735 delta SOWgp","Onygenales","222929","JCVI-cpa1-1.0","GCA_000151335.1","-","-","-","","-","-"
"","Coccidioides posadasii RMSCC 3488","Onygenales","454284","ASM15005v1","GCA_000150055.1","-","-","-","","-","-"
"","Coccidioides posadasii str. Silveira","Onygenales","443226","CPS2","GCA_000170175.2","-","-","-","","","-"
"","Coleophoma crateriformis str. BP5796","Helotiales","565419","ASM336963v1","GCA_003369635.1","-","-","-","","-","-"
"","Coleophoma cylindrospora str. BP6252","Helotiales","1849047","ASM336966v1","GCA_003369665.1","-","-","-","","-","-"
"","Colletotrichum asianum","Glomerellales","702518","ASM980641v1","GCA_009806415.1","-","-","-","","-","-"
"","Colletotrichum chlorophyti str. NTL11","Glomerellales","708187","ASM193710v1","GCA_001937105.1","-","-","-","","-","-"
"","Colletotrichum fioriniae PJ7","Glomerellales","1445577","CFIO01","GCA_000582985.1","-","-","-","","-","-"
"","Colletotrichum fructicola str. CGMCC 3.17371","Glomerellales","690256","ASM977102v1","GCA_009771025.1","-","-","-","","-","-"
"","Colletotrichum gloeosporioides","Glomerellales","1213859","GCA_000319635.1","GCA_000319635.1","-","-","-","","","-"
"","Colletotrichum gloeosporioides Cg-14","Glomerellales","1237896","Colletotrichum_gloeosporioides1","GCA_000446055.1","-","-","-","","-","-"
"","Colletotrichum graminicola","Glomerellales","645133","C_graminicola_M1_001_V1","GCA_000149035.1","-","-","-","","","-"
"","Colletotrichum higginsianum","Glomerellales","80884","GCA_000313795.2","GCA_000313795.2","-","-","-","","","-"
"","Colletotrichum higginsianum IMI 349063","Glomerellales","759273","ASM167251v1","GCA_001672515.1","-","-","-","","-","-"
"","Colletotrichum higginsianum str. MAFF305635-RFP","Glomerellales","80884","ASM492035v1","GCA_004920355.1","-","-","-","","-","-"
"","Colletotrichum incanum str. MAFF 238704","Glomerellales","1573173","Ci238704v1","GCA_001625285.1","-","-","-","","-","-"
"","Colletotrichum incanum str. MAFF238712","Glomerellales","1573173","ASM185523v1","GCA_001855235.1","-","-","-","","-","-"
"","Colletotrichum nymphaeae SA-01","Glomerellales","1460502","CNYM01","GCA_001563115.1","-","-","-","","-","-"
"","Colletotrichum orbiculare","Glomerellales","1213857","GCA_000350065.1","GCA_000350065.1","-","-","-","","","-"
"","Colletotrichum orchidophilum str. IMI 309357","Glomerellales","1209926","CORC01","GCA_001831195.1","-","-","-","","-","-"
"","Colletotrichum salicis str. CBS 607.94","Glomerellales","1209931","CSAL01","GCA_001563125.1","-","-","-","","-","-"
"","Colletotrichum shisoi str. PG-2018a","Glomerellales","2078593","ASM678308v1","GCA_006783085.1","-","-","-","","-","-"
"","Colletotrichum sidae","Glomerellales","1347389","ASM436793v1","GCA_004367935.1","-","-","-","","-","-"
"","Colletotrichum simmondsii str. CBS122122","Glomerellales","703756","CSIM01","GCA_001563135.1","-","-","-","","-","-"
"","Colletotrichum spinosum","Glomerellales","1347390","ASM436682v1","GCA_004366825.1","-","-","-","","-","-"
"","Colletotrichum sublineola str. TX430BB","Glomerellales","1173701","ASM69613v1","GCA_000696135.1","-","-","-","","-","-"
"","Colletotrichum tanaceti","Glomerellales","1306861","ASM535089v1","GCA_005350895.1","-","-","-","","-","-"
"","Colletotrichum tofieldiae str. 0861","Glomerellales","708197","Ct0861v1","GCA_001625265.1","-","-","-","","-","-"
"","Colletotrichum trifolii str. 543-2","Glomerellales","5466","KSG_Cotri_v1","GCA_004367215.1","-","-","-","","-","-"
"","Conidiobolus coronatus NRRL 28638","Fungi","796925","Conidiobolus_coronatus_NRRL28638","GCA_001566745.1","-","-","-","","","-"
"","Coniella lustricola str. B22-T-1","Sordariomycetidae","2025994","Coniella_lustricola_v1.0","GCA_003019895.1","-","-","-","","","-"
"","Coniochaeta ligniaria NRRL 30616","Sordariomycetidae","1408157","Conlig_v1.0","GCA_001879275.1","-","-","-","","","-"
"","Coniochaeta pulveracea str. CAB683","Sordariomycetidae","177199","ASM363534v1","GCA_003635345.1","-","-","-","","-","-"
"","Coniochaeta sp. 2T2.1","Sordariomycetidae","1571157","Conioc1","GCA_009194965.1","-","-","-","","-","-"
"","Coniophora puteana RWD-64-598 SS2","Boletales","741705","Conpu1","GCA_000271625.1","-","-","-","","","-"
"","Coniosporium apollinis CBS 100218 str. CBS 352.97","Dothideomycetes","1168221","Coni_apol_CBS100218__V1","GCA_000281105.1","-","-","-","","","-"
"","Coprinellus micaceus str. FP101781","Agaricales","71717","Copmic2","GCA_004369175.1","-","-","-","","-","-"
